,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2016-05-31,3.3797470168140664e-10,0.10921112882432644,0.48821407754646035,0.029258593915610386,1.951717358770604e-09,0.029229834668735865,7.014282831276132e-10,1.1812617870280552e-10,1.1263858596572666e-09,2.011676446432521e-10,1.507338848433048e-10,1.316026950248624e-10,3.029310503801411e-10,2.964675796001328e-10,1.3241492746623711e-10,0.056292227879690605,0.0893637613224123,7.580707533592386e-10,2.067221838253168e-10,3.5126543643617595e-10,0.1984303690757531
2016-07-29,1.0395119304046063e-09,0.11440371017372189,0.5228111092548376,3.415333916087737e-08,1.1957874873764721e-08,0.05333990524071667,1.7522035196133691e-09,3.378369302934054e-10,0.03553015671607293,4.715677961251635e-10,3.370271882423236e-10,4.1196827249589965e-10,9.137523819930452e-10,1.1874716658480933e-09,3.286428234818457e-10,0.022462934145413407,0.05126662766363992,3.125255059351298e-09,6.126796836761887e-10,1.6511748574841636e-09,0.2001854985252982
2016-09-30,1.349255356368722e-10,0.1171102886975291,0.5036789196811898,0.06879409663524205,1.085431862649286e-10,0.12010579083167335,2.2474520929443067e-10,2.1778949340315545e-11,0.004098307128006947,3.6671078016762275e-11,2.2277266842128792e-11,3.061064099602044e-11,8.474320312839997e-11,0.015308355882401117,2.5163256030832313e-11,1.7739222015506698e-10,0.006988899860576092,1.4430823705525352e-10,5.078835989355283e-11,1.1450082269723207e-10,0.16391534010691336
2016-11-30,2.1538550045494616e-10,0.10351204445212002,0.48990856368161834,0.09688336689066826,2.0901465087910873e-10,0.16150445594478977,1.926310819988535e-10,4.216645896971999e-11,1.258464936747099e-10,5.182951702095194e-11,4.204244792747257e-11,4.996434553845776e-11,9.858697908895503e-11,1.3427494428286948e-10,3.7720377411871765e-11,1.5957777846867436e-09,0.007058922933126839,2.0623685137389947e-10,1.1443429743626881e-10,1.372083954898193e-09,0.14113264160970893
2017-01-31,0.03445302715064251,0.052601962919524174,0.45170498167050743,0.07979971059400041,1.3141667756896362e-09,0.23956965960250182,1.909499192048346e-09,3.906654146620274e-10,6.503222949692797e-10,4.98483782829198e-10,3.805016423560488e-10,3.8543991536227435e-10,7.280684560216265e-10,9.064955160926753e-10,3.049420827952928e-10,2.417356624066747e-09,4.115931832814341e-09,7.843258026265642e-10,7.903294726889286e-10,1.994613248913339e-09,0.14187064049161227
2017-03-31,0.013810170910843673,0.08595605589536463,0.49520337025965455,0.04165486814536744,1.5787529697651207e-10,0.2295467559281679,4.312960154628822e-10,5.2610722737479315e-11,9.959127839167661e-11,6.348028332350509e-11,4.826228935274442e-11,4.6706815677221326e-11,7.584227491337362e-11,1.1106197767125031e-10,4.496312834493622e-11,5.542778370570471e-10,3.273163070802992e-10,1.200897432984888e-10,1.4231688782722833e-10,3.192955227360542e-10,0.13382877626561057
2017-05-31,6.304978369157893e-10,0.18024132247568747,0.39960949551985697,3.352685064843223e-10,8.296998623179681e-10,0.23032321874833445,9.788544406981989e-10,1.1088469466943058e-10,2.8556609246988886e-10,1.62871151502728e-10,1.0912451997480207e-10,1.178296728762186e-10,1.7412662788043974e-10,2.605763216091102e-10,7.527232471288238e-11,0.044007144312654255,0.005241678827264182,2.0486963553007793e-10,3.6872568389594517e-10,0.05944178008875345,0.08113535538328076
2017-07-31,8.144496240246037e-08,0.16556076859514124,0.349136491830975,2.792096685460669e-07,2.095469792039453e-07,0.22358272091359602,2.913047201289443e-07,3.4078199306236136e-08,2.414468192608917e-07,2.0219191590805905e-07,3.931540305180911e-08,4.249290252332352e-08,3.91930022968664e-08,7.997267165984169e-08,2.712519630914997e-08,0.18579920341245582,0.02639012752587703,6.026501919323089e-08,1.1570944985478508e-07,1.5267060414721692e-07,0.04952879175442196
2017-09-29,2.954544078867313e-08,0.13951783731257686,0.18897227659790863,3.3759366049809503e-08,5.2707866290384283e-08,0.181210018669147,0.08599392650685703,1.3719144511978778e-08,5.474972531929413e-08,3.5449907934537284e-08,2.4143687908987836e-08,1.5191060206087278e-08,1.4614166447443824e-08,4.346319385092119e-08,1.0670208897942293e-08,0.27144037381141783,0.10840945933080509,2.8588821054454995e-08,4.3738055951215656e-08,5.2477540893823366e-08,0.02445565495309471
2017-11-30,6.370797625843589e-08,0.16247420401105253,0.22350278798499595,4.4840073741802587e-08,0.013064514708865877,0.15021771503856116,0.1381339202583257,2.693830451130397e-08,3.7892543119884846e-07,3.423471938925675e-08,3.4027779505628884e-08,2.614938018219495e-08,1.9438101130153886e-08,0.030024346191522184,1.7099349823264397e-08,0.1351957952576655,0.12208010355369792,5.20158688239763e-08,4.9714041464903576e-08,9.60749562076269e-08,0.025305769829259427
2018-01-31,2.1113339606272313e-08,0.13254211388397544,0.25408872466397703,6.808360634115541e-09,0.03397126808806188,0.09948045948392738,0.17123922585554469,5.875362063578758e-09,1.850340062212825e-08,6.672670830729171e-09,5.813567994083309e-09,5.3852597569077505e-09,3.107728971340389e-09,0.017663516323566723,3.342620737096515e-09,0.08373334999609747,0.1656537208625337,1.1206515677003309e-08,9.966413442898367e-09,0.03234340167980009,0.00928412136727874
2018-03-29,1.4159199467444603e-07,0.0527460883895251,0.21054473877236124,2.3415871284477853e-08,0.12456757233953918,0.1708456274518569,0.02086953371990163,1.924159541487406e-08,0.0493467294357221,2.611434175984988e-08,2.3110403364607125e-08,2.0897283661545513e-08,1.0676685631445087e-08,0.047773532556463244,1.282191219225534e-08,9.115167676465707e-07,0.17587292339076865,6.625236774042169e-08,2.7584334125872145e-08,1.0154761816870901e-07,0.14743186917238787
2018-05-31,7.543235549512649e-08,0.04428323392934205,0.1425821558087038,3.2826391960316247e-08,0.11644143865662451,0.15047572410228774,5.239921476697901e-07,4.096923791788323e-08,0.09666639018460174,2.879455266955245e-08,3.2651925145775395e-08,3.41528166131012e-08,1.548443505898026e-08,0.0776324632955225,1.4784750182124e-08,4.964945837596027e-07,0.19339684643791696,1.2146267718112704e-07,3.2968714557782125e-08,1.0554099874433839e-07,0.17852019202915423
2018-07-31,1.5443838389176683e-08,0.03136833314619398,0.14444478341902772,7.141075828207327e-09,0.23365537556922675,0.15013649768283396,2.50887212858989e-08,1.2923588503903543e-08,3.981378827385247e-08,8.1311451753179e-09,8.47638964635795e-09,9.307366210172352e-09,3.8007550525869e-09,0.01468717768783422,4.52000332185268e-09,1.9710759491948262e-08,0.20900306887675638,1.9554915824743836e-08,8.133084531241476e-09,1.530700221463729e-08,0.21670456626570642
2018-09-28,4.286380443104871e-09,0.060305380765744994,0.1486013043495236,1.5284725001295385e-09,0.158877557089097,0.11828551379886741,1.6564210948889115e-08,2.756407199794964e-09,0.03841743647701537,2.402245984775462e-09,2.2289816430866862e-09,2.3355815232234183e-09,8.794094105889795e-10,0.028548256744900368,1.172309451985392e-09,7.714985110430071e-09,0.23936402658615194,9.472291346898484e-09,2.092313791772892e-09,6.427014253246549e-09,0.20760046432806797
2018-11-30,4.073819450738992e-09,9.120051019411136e-09,0.24206468382776966,1.2973012006425062e-09,0.1520481338401599,0.11287254451263425,1.4740453812521982e-08,3.1215527898923988e-09,0.0522510598688937,2.852264911391591e-09,4.211095255959956e-09,3.233348781207822e-09,8.330372356336821e-10,0.00583669027879945,1.1744239945649965e-09,1.8385552411685686e-08,0.24948696962071254,3.1164413658070627e-08,4.04764346717926e-09,9.118609228324547e-08,0.1854397286099787
2019-01-31,1.4870163314590866e-10,3.1780708251324894e-10,0.04738065574888539,6.476283747992699e-11,0.01372560417957331,2.7190188942913284e-09,4.501765329865691e-09,1.250824926385281e-10,0.1024075276031773,1.0724149314477352e-10,2.3623950435890553e-10,7.914514366876329e-11,3.019164453402263e-11,0.006067855170523258,5.302055675639941e-11,6.285184398549676e-10,0.42623048672439456,0.06941658274235493,3.170295096786631e-10,5.801563222998108e-10,0.33477127792240663
